,aapl.q,amat.q,amd.q,amgn.q,amzn.q,atvi.q,bac.n,c.n,cmcsa.q,csco.q,csx.q,ctsh.q,ebay.q,exc.q,f.n,fast.q,fcx.n,fitb.q,ge.n,gild.q,hban.q,intc.q,jblu.q,jpm.n,ko.n,mdlz.q,mnst.q,mrvl.q,msft.q,mu.q,myl.q,nflx.q,nlok.q,ntap.q,nvda.q,odp.q,on.q,orcl.n,pep.q,pfe.n,qcom.q,rost.q,sbux.q,siri.q,t.n,txn.q,viac.q,wba.q,wfc.n,xom.n
csx.q,0.00015314869551788616,0.00018589193063073498,0.00024691143885563526,0.00010043975568009424,0.0001708168262082647,0.00015375044367593233,0.00028494828752380867,0.00028019732478559283,0.00016127900446037108,0.00016117109917830052,0.000390657001117834,0.00019108079789401463,0.00016997246415407973,0.00010888722227505821,0.0002095810703213013,0.00019818668044687464,0.00031499442973107703,0.0002622713504092422,0.00017573237559043398,0.00011167532220194505,0.0002624410512707393,0.00016442282280240323,0.00021815485211027416,0.00023755669107117258,7.701698741818168e-05,8.565235590208691e-05,0.0001466021024118347,0.00019536790406910002,0.00014325572354234982,0.00025877895895013526,0.00015718746687171204,0.00015011546498955146,0.00015327595051984678,0.00019004711845351614,0.00023047424303153195,0.0003079190035523096,0.00024098978170865985,0.0001519154830952936,7.174662582196435e-05,0.00011005979013047378,0.00016316122795944463,0.00013711727477561225,0.0001620952283170014,0.0001500616054035987,0.0001056025472172515,0.00015999870437433705,0.00022878764276691054,0.00011932103775946143,0.00024091217718335745,0.00014288445137965115
ctsh.q,0.00018371270981295154,0.00020086803786336144,0.0002636088324019885,0.000123090954198906,0.0001993612748303168,0.00018656912688442618,0.00027195331051771464,0.0002939603393663153,0.00016376490853428817,0.00018573684772492494,0.00019108079789401463,0.00045495770222494966,0.00019705878103630853,0.00011791534713275456,0.00020854733288526556,0.00019305382558078667,0.00027762526978451297,0.00026410356811420365,0.0001696672144749254,0.0001377900601592762,0.00023660015101790888,0.0001796425402428745,0.00022637717055773785,0.00022987355402707217,8.701241292237835e-05,9.747399029487034e-05,0.00017549147124230563,0.00021875092062133595,0.00016353860785528384,0.00027876130526516334,0.00015824388703095357,0.00018164405960780525,0.00017021482023732483,0.00021861786189716217,0.00026993718759850947,0.0002935443203625349,0.00025503571519279027,0.00018436024502803899,8.228196716491026e-05,0.00011725613714130676,0.000168883189640976,0.00013314438186238142,0.00018183765053040118,0.00016863303410793564,0.00012042283214615514,0.00017648180222201048,0.00021693535916565555,0.00012501003006032654,0.0002148004999370445,0.00013898435745854525
ebay.q,0.00016160565886815464,0.00018931846620718823,0.0002386069705405421,0.00010986136454360187,0.00021532427388656875,0.00015408857809646708,0.00025069438946804975,0.0002565881979692389,0.00014738697795012147,0.00015430857952107116,0.00016997246415407973,0.00019705878103630853,0.0004302518655165732,9.03216459134117e-05,0.00020119857013776047,0.00016624377302354516,0.00024657530455275597,0.00025666285142503486,0.00015634648134687802,0.00013172635575233756,0.00023058586945020948,0.00016234163580374628,0.00018834052627944957,0.00021003566899068852,7.378784983215204e-05,8.198380243630094e-05,0.0001497580581416483,0.00018253612083314906,0.0001516621450087942,0.00025021390138237423,0.00013170334665112593,0.00018267061915128762,0.00015774405516811725,0.00018381936092611728,0.0002445400254914981,0.00027486458230340964,0.00023324010371862677,0.0001575513053081238,6.575280037928935e-05,0.00010345660924488229,0.00017568980301307477,0.00013302838809123955,0.0001592120778333419,0.00014330605572916236,0.00010608848880527176,0.00016202591738870124,0.00020031284586960807,0.0001125903102387206,0.00021300094877244952,0.00011971456499082723
exc.q,8.584039267114068e-05,9.46724269995583e-05,0.00011591002156397154,7.204727940406536e-05,9.025245522509338e-05,9.696651018326797e-05,0.0001338518005257417,0.00014131631853046318,0.00010432010160079427,9.640680383223694e-05,0.00010888722227505821,0.00011791534713275456,9.03216459134117e-05,0.00022780408098041475,9.419781610453097e-05,0.00010031456728882222,0.0001716686065184124,0.00015196776892669245,9.820662422971162e-05,7.799059742797912e-05,0.00012096933762402508,9.863804099491421e-05,0.0001069780254491961,0.0001152658512252429,7.304882596761605e-05,7.487535296874614e-05,0.00010429720838125299,8.851430928256839e-05,9.160948841553861e-05,0.00012350714116759887,9.61337330926542e-05,7.706738492214487e-05,7.984385487364888e-05,9.958105652472244e-05,0.0001157878961476712,0.0001502428554987003,0.00010797366249209981,9.277367857004828e-05,6.876669836867166e-05,7.760556897001004e-05,9.066237772258595e-05,7.509145779430839e-05,9.070484229615146e-05,6.94588248892384e-05,8.742574260643003e-05,8.034369287165458e-05,0.0001270397151105586,7.650455607493336e-05,0.00011751951564884136,0.00010961971351899567
f.n,0.00017531806046872694,0.0002010418332078215,0.00030036470237517366,0.0001044445576295652,0.0001926157847723261,0.00015786731411866588,0.0003464190458031735,0.00035807680409074297,0.00017563518618670288,0.00018024200080932125,0.0002095810703213013,0.00020854733288526556,0.00020119857013776047,9.419781610453097e-05,0.0006554258474099826,0.00019663393376563525,0.00030298719752596114,0.00032104196199902833,0.00020326687849350292,0.00013154427528654008,0.0002917586479778599,0.0001795765457403138,0.00027132726434071574,0.00025261991941379655,8.366880248084439e-05,9.061116566337778e-05,0.0001440576546381835,0.00023186825179168086,0.0001560366166259438,0.0003064909955889648,0.00016257980456572978,0.00016167735542810897,0.00015935463250275254,0.00019997482194496056,0.00025368714641456157,0.00035023307607336373,0.00027084389981140735,0.00016102007101611665,7.107977013527672e-05,0.00011069727161431986,0.00015760944731543747,0.00014756607915836174,0.0001863159624449344,0.00021511760297821504,0.00012268625567037774,0.0001691865837639992,0.0002601931464358638,0.00012159159338292629,0.00028199100347127556,0.00012807065560065022
fast.q,0.00014912244229851854,0.00018086175787490548,0.00022003128105687464,0.00010636339421639221,0.00017708903102241295,0.00015408900607678032,0.00024877584485437896,0.00022815175768552866,0.00015231839752805236,0.00016046334282848968,0.00019818668044687464,0.00019305382558078667,0.00016624377302354516,0.00010031456728882222,0.00019663393376563525,0.00037188283331090376,0.0002636926310189232,0.0002569481429817376,0.00016737989767254648,0.00012797325430639905,0.0002429704220564447,0.0001632552466127843,0.00021057993094342767,0.00021310469874179664,7.392552164152741e-05,8.530332822088281e-05,0.00015113687832218076,0.00018894666690241234,0.00014015905262425293,0.00023580863868528131,0.00014221502056300514,0.00016949421425157705,0.00014479105544154658,0.00019260090178215895,0.0002222647579706079,0.0003043801083893073,0.00020904647368220186,0.00015507823004738282,7.319334043231465e-05,0.00010290097894766037,0.0001590461119360242,0.00014752951556212788,0.0001666395672730353,0.00013699149544372111,0.00010151323411623583,0.00015437356969454476,0.00020396350585117536,0.0001263652301313149,0.00021347796553589337,0.0001289814064210187
fcx.n,0.00024282788472492,0.0002793536563408129,0.0003946540562740393,0.00014253774099144594,0.00023226125296847122,0.00022396283659030305,0.0003758166488162378,0.00039231220939543157,0.00021729909687226418,0.00023471511278456484,0.00031499442973107703,0.00027762526978451297,0.00024657530455275597,0.0001716686065184124,0.00030298719752596114,0.0002636926310189232,0.0010744599170676723,0.000366911954845515,0.000254151943838512,0.00016607124700454255,0.0003198666677912528,0.00023811967737581791,0.00021706876250889137,0.0002997308951652198,0.00010339908071305454,0.00010958363557617123,0.0002007677348977258,0.0003084858798146644,0.00021090026978047276,0.00040524948512756724,0.0002284412288143332,0.00023062008569948493,0.00020549476927556788,0.0002954040561654472,0.0003620731249772396,0.0004382329947813268,0.0003870900730526982,0.00022230117628603124,9.377919536874765e-05,0.00014110477796367668,0.00025037372975766724,0.00016101076400393187,0.00019937761943557042,0.0002419125718591536,0.00015530857776190947,0.00023339920121143406,0.000314376412147592,0.00014433772919390128,0.000288895360735115,0.0002710583750866946
fitb.q,0.00020912666844200887,0.0002629275543237006,0.0003208884193625489,0.00013365370982499296,0.00021574797787205798,0.0001933107400998986,0.0007554845581620464,0.0006686104980686231,0.0002632002500428089,0.0002225042670799515,0.0002622713504092422,0.00026410356811420365,0.00025666285142503486,0.00015196776892669245,0.00032104196199902833,0.0002569481429817376,0.000366911954845515,0.0012141542187307083,0.0003139026075390205,0.00015359969420321784,0.0009092243450131098,0.00022624502436128689,0.00037025896233654914,0.000534583908604451,0.00010418232767244223,0.00013494401360171967,0.00020807532034446588,0.00023866376662042178,0.00018827659715341192,0.0003819875785153365,0.00019818537485761834,0.0001761133746179419,0.00020116313758994923,0.0002484056148896501,0.00027909319515672043,0.00046709386269070286,0.00032776364259209055,0.00020610513644039538,9.252436567259181e-05,0.00016830045121955513,0.00020759108526909506,0.00018048159682758567,0.00022577266839553782,0.00017382183087897681,0.00016742241606239238,0.00019467158998967966,0.0003607982309992772,0.00016412320065398297,0.0006257685355442437,0.00018207700697810925
ge.n,0.0001470058636974686,0.00016438202987434383,0.00021488917198467494,9.709234144338359e-05,0.00015806102175591218,0.0001213711842703854,0.00032827884227103275,0.00032652552738862353,0.0001535657419436696,0.00015037212827541524,0.00017573237559043398,0.0001696672144749254,0.00015634648134687802,9.820662422971162e-05,0.00020326687849350292,0.00016737989767254648,0.000254151943838512,0.0003139026075390205,0.0003653838559777176,9.756838913541592e-05,0.0003143471939966777,0.00014874470151979584,0.00020598655730616884,0.00025623993242843124,7.089587047038172e-05,8.356874942629161e-05,0.00011946042829006511,0.0001652196736620185,0.00012570184303656187,0.00022985028650166086,0.0001383726818588586,0.00013166020674512338,0.00012967026863416008,0.00015924905765479465,0.00020001603499651783,0.0002976610159879291,0.0001993960543816846,0.00013990037014351318,6.680273888211546e-05,0.00010935910110796988,0.0001442613757743286,0.0001169638976628121,0.00015380058183717485,0.0001313534672822752,0.00010554582589262154,0.00013600230756716364,0.00021739730536933117,0.00011080886645574466,0.00026612197112335054,0.00013110113799757908
gild.q,0.00010941747043646917,0.00012421338328117343,0.00015088789700895203,0.0001403152371790207,0.00013936838913216693,0.00012547657090355698,0.00015051084194564343,0.0001604133469235957,0.0001111183685803213,0.00010783563000158565,0.00011167532220194505,0.0001377900601592762,0.00013172635575233756,7.799059742797912e-05,0.00013154427528654008,0.00012797325430639905,0.00016607124700454255,0.00015359969420321784,9.756838913541592e-05,0.00034110391793057914,0.00014068928631298612,0.00011721985477347725,0.00013438773505783174,0.00013890885579968384,6.902075382463612e-05,6.80616390747814e-05,0.00012175759697706695,0.0001235370806558373,0.00011128101914463878,0.0001656102712686959,0.00013888180171540396,0.00012470295267747578,0.00010705944418366216,0.00012661269211115914,0.00015818080749188613,0.00016267799286358154,0.0001629302160008203,0.00011663190977092026,5.963177907607289e-05,0.0001007095428570222,0.00011708194531782486,9.636771554835017e-05,0.00011015165782555875,8.97294117695658e-05,8.202355666472529e-05,0.00010579118964522271,0.0001309610206017629,9.329497742446518e-05,0.00013170224452099707,9.885857153595476e-05
hban.q,0.00019437799442787988,0.00025462154399368887,0.0003084725120357501,0.00011763735508505089,0.00020786468208310635,0.00015260449862835392,0.0007804092784641021,0.0006877848888763425,0.00023880539987973604,0.00021517421837983654,0.0002624410512707393,0.00023660015101790888,0.00023058586945020948,0.00012096933762402508,0.0002917586479778599,0.0002429704220564447,0.0003198666677912528,0.0009092243450131098,0.0003143471939966777,0.00014068928631298612,0.001279790963787455,0.0002131433837891082,0.0003378573782099873,0.0005218329198187348,8.768976109106755e-05,0.00012453381012446965,0.0002027427496863943,0.0002530326780592028,0.00016929080250338482,0.00037776167515701087,0.00019938709524480695,0.00017473805002349513,0.0001894197408645077,0.00022456597175633103,0.0002800244848839162,0.00045443411930785784,0.0003312259896001094,0.0001855758035147921,7.637067219663688e-05,0.00016444951063103897,0.00018928150850756344,0.0001870853212163947,0.00023278599536657644,0.00019173418213511666,0.0001608671924886005,0.000195072274463537,0.00036563169792374933,0.00015133281892806122,0.0005906067271656812,0.00016738147829929432
intc.q,0.00016437412360742425,0.00022171712300454206,0.0002643011991926918,0.00010719537563659715,0.00017212480443249523,0.00014918431192258315,0.0002335132147171259,0.0002372850793787829,0.0001469322361501097,0.00017826930954321937,0.00016442282280240323,0.0001796425402428745,0.00016234163580374628,9.863804099491421e-05,0.0001795765457403138,0.0001632552466127843,0.00023811967737581791,0.00022624502436128689,0.00014874470151979584,0.00011721985477347725,0.0002131433837891082,0.0003122368744601297,0.00018436509057681395,0.0001990176632693442,7.7763146173883e-05,8.564116893377573e-05,0.00014109150209437693,0.0002259013204311987,0.00016897854183514483,0.0002812293218156177,0.00012837170079116529,0.0001490039653306993,0.0001482480693442794,0.0001905446632215881,0.0002777026531944813,0.00024623747393503716,0.00026004054298407395,0.00015744309834065523,7.3668347372774e-05,0.00010289897987782351,0.00017134284285673991,0.000122865146429276,0.0001449938149375579,0.0001342316751310805,0.00010336976676204812,0.00019844900394360828,0.00018369774792219163,0.00010849833488527884,0.00019428453423514234,0.0001288907460043625
